key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr,,
30090052,“恭喜你满足了贝洛伯格的好奇，这是兑换奖券。兑换码：INTHOSMB”,“恭喜你滿足了貝洛伯格的好奇，這是兌換獎券。兌換碼：INTHOSMB”,"""Congratulations on solving the Berloberg's Curiosity. This is your redemption ticket. Redemption code: INTHOSMB""",「ベロポークの好奇心を満たしました。おめでとうございます。こちらは引換券です。引換コード：INTHOSMB」,"‘벨로보그의 호기심을 푸신 걸 축하합니다, 이건 선물 교환권입니다. 교환 코드: INTHOSMB’","""베를로베르그의 큐리오시티 문제를 해결하신 것을 축하합니다. 이것이 교환권입니다. 교환 코드: INTHOSMB""",「벨로포크의 호기심을 채웠습니다. 축하합니다. 이쪽은 교환권입니다. 교환 코드：INTHOSMB」
30090061,活动策划书,活動策劃書,Event Planning Manual,イベント企画書,이벤트 기획서,행사기획 매뉴얼,이벤트 기획서
30090062,详细记录了游乐园特别活动的完整方案，最引人瞩目的无疑是用粗体标记的三个单词：GERNAWY、OCINEVA、INTHOSMB。,詳細記錄了遊樂園特別活動的完整方案，最引人矚目的無疑是用粗體標記的三個單詞：GERMANY、OCILIPY、INTGEHEN。,"Contains a detailed record of the plans for the amusement park's special events. Of particular note are the following three words underlined in thick marker: GERNAWY, OCINEVA, INTHOSMB.",遊園地の特別イベントを詳しく記録した企画書、最も印象的なのは間違いなく、太字で表記された3つの単語「GERMANY、OCILIPY、INTGEHEN」である。,"놀이공원 특별 이벤트의 전체 기획을 자세하게 기록한 기획서. 눈에 띄는 것은 볼드체로 표기한 세 단어 GERMANY, OCILIPY, INTGEHEN 이다.","놀이공원의 특별행사 계획에 대한 상세한 기록을 담고 있습니다. 특히 주목할 만한 점은 두꺼운 마커로 밑줄이 그어진 다음 세 단어입니다: GERNAWY, OCINEVA, INTHOSMB.","유원지의 특별 이벤트를 자세하게 기록한 기획서, 가장 인상적인 것은 틀림없이, 굵은 글씨로 표기된 3개의 단어 「GERMANY, OCILIPY, INTGEHEN」이다."
30091011,死神的谜题,死神的謎題,Grim Reaper's Puzzle,死神の謎,사신의 수수께끼,그림 리퍼의 퍼즐,사신의 수수께끼
30091012,"死神菲林斯注视着你，想要获得死神的嘉奖，就要达成死神的愿望。
小偷藏进了黑暗通道之中，通道却有两个出口，被石头所掩盖。
一处在日已落之西，一处在月初悬之北。
仅凭一人之力，无法将他堵截。
如果是你，你该如何帮助死神？","死神菲林斯注視著你，想要獲得死神的嘉獎，就要達成死神的願望。
小偷藏進了黑暗通道之中，通道卻有兩個出口，被石頭所掩蓋。
一處在日已落之西，一處在月初懸之北。
僅憑一人之力，無法將他堵截。
如果是你，你該如何幫助死神？","Filins the Grim Reaper is watching you. To earn the Grim Reaper's reward, you must fulfill his wish. 
A thief has hidden in a dark passage, with the two exits concealed by stones. 
One is in the west where the sun has set, and the other to the north where the moon begins. 
He can't be stopped by one person alone. 
If it were you, how will you help the Grim Reaper?","死神フィリスが君を見つめている。死神からの褒美を手に入れたいのなら、死神の願いをかなえなければならない。
泥棒が暗い通路に入って身を潜めた。しかし通路には出口が2つあり、石がかぶさっている。
一つは日が沈んだ西に、もう一つは月が出たばかりの北にある。
一人では泥棒を追いつめることができない。
どうすべきかを死神に教えてあげよう。","사신 필립스가 널 응시하고 있다, 사신이 내리는 보상을 받으려면 그의 소원을 이뤄주어야 한다. 
도둑이 어두운 통로에 몸을 숨겼는데, 통로는 두 개가 있고 돌로 막혀있다. 
한 곳은 해가 떨어진 서쪽이요, 한 곳은 초승달이 뜨는 북쪽이니. 
한 사람의 힘으로는 그를 막을 수 없다. 
너라면 어떻게 사신을 도울 것인가?","저승사자 필린스가 당신을 지켜보고 있습니다. 저승사자의 보상을 받으려면 그의 소원을 들어줘야 합니다. 
도둑이 두 개의 출구가 돌로 가려진 어두운 통로에 숨어 있습니다. 
하나는 해가 지는 서쪽에 있고, 다른 하나는 달이 시작되는 북쪽에 있습니다. 
한 사람만으로는 그를 막을 수 없습니다. 
만약 당신이라면 어떻게 저승사자를 도울 건가요?","사신 필리스가 너를 응시하고 있다.
도둑이 어두운 통로에 들어가 몸을 숨겼다. 그러나 통로에는 출구가 2개 있고 돌이 덮여 있다.
하나는 햇볕이 잘 드는 서쪽에, 다른 하나는 달이 나온 북쪽에 있다.
혼자서는 도둑을 따라잡을 수 없다.
어떻게 해야 할지를 사신에게 가르쳐 주자."
30091021,朱瑟伯格的难题,朱瑟伯格的難題,Zusenberg's Challenge,ジュゼポークの問題,유스보그의 난제,Zusenberg의 도전,주제 돼지 문제
30091022,"月神有了困惑，调皮的异乡孩子与他开了个玩笑。
孩子说：我出身于古希腊，是风与神秘的代表。
我将你的宝物放进了自己的铁盒子中。
别担心，我并不是想占有。
只要你能找得到，我就还给你。","月神有了困惑，調皮的異鄉孩子與他開了個玩笑。
孩子說：我出身於古希臘，是風與神秘的代表。
我將你的寶物放進了自己的鐵盒子中。
別擔心，我並不是想佔有。
只要你能找得到，我就還給你。","The Lunar God was puzzled, and a a mischievous child from a foreign land played a trick on him. 
The child said: I come from ancient Greece, representing the wind and mystery. 
I've placed your treasure in my own iron box. 
Don't worry, I don't intend to keep it. 
As long as you can find it, I'll return it to you.","異郷からやってきたいたずらっ子にからかわれ、月の神は困っている。
子供：僕は古代ギリシャから来た、風と神秘を表す者なんだ。
君の宝物をこの鉄の箱の中に入れたよ。
大丈夫、取ったりしないから。
見つけることができたら、君に返してあげる。","달의 신은 곤혼스러워했고 장난꾸러기인 다른 고향 아이들은 그에게 농담을 건넸다. 
아이가 말하길: 난 고대 그리스에서 태어나 바람과 신비로움을 대표하는 몸이다. 
내가 네 보물을 나의 강철 상자에 넣었도다. 
걱정하지 말거라, 난 네 것을 가지려 하는 게 아니다. 
네가 찾을 수만 있다면, 돌려줄 것이다.","달의 신은 어리둥절했고, 외국에서 온 장난꾸러기 아이가 그를 속였습니다. 
아이가 말했습니다. 나는 바람과 신비를 대표하는 고대 그리스에서 왔습니다. 
나는 당신의 보물을 내 철 상자에 넣었습니다. 
걱정하지 마세요. 저는 그것을 간직할 생각이 없습니다. 
당신이 그것을 찾을 수 있는 한, 나는 그것을 당신에게 돌려줄 것입니다.","이향에서 온 장난 꾸러기에게 놀림, 달의 신은 곤란하다.
아이 : 나는 고대 그리스에서 온 바람과 신비를 나타내는 사람이야.
너의 보물을 이 철 상자 안에 넣었어.
괜찮아, 잡지 않으니까.
찾을 수 있으면, 너에게 돌려준다."
30091031,贝洛伯格的好奇,貝洛伯格的好奇,Berloberg's Curiosity,ベロポークの好奇心,벨로보그의 호기심,베를로베르그의 호기심,벨로포크의 호기심
30091032,"凡人想要登上天际，花费精力制造了天梯。
太阳神出于好奇，将一份神谕藏于天梯之内。
找到那份太阳神的神谕，你将获得意外惊喜。","凡人想要登上天際，花費精力製造了天梯。
太陽神出於好奇，將一份神諭藏於天梯之內。
找到那份太陽神的神諭，你將獲得意外驚喜。","Mortals, eager to ascend to the sky, expended their efforts to create a celestial ladder. 
The Sun God, driven by curiosity, concealed an oracle within the ladder. 
Find the oracle of the Sun God and you shall receive an unexpected surprise.","この世の者が天に登ろうとし、お金と手間をかけて雲梯を作った。
おもしろいと思った太陽神は、お告げを雲梯の中に隠した。
太陽神のお告げを見つけて、サプライズをゲットしよう。","평범한 인간이 천계에 오르기 위해 노력을 다해 하늘의 계단을 만들었다. 
태양신은 호기심 때문에 신탁을 하늘의 계단 안에 숨겼다. 
태양신의 신탁을 찾으면 뜻밖의 기쁨을 얻을지어다.","하늘로 올라가고 싶어하는 필멸자들은 천상의 사다리를 만들기 위해 노력을 기울였습니다. 
호기심에 사로잡힌 태양신은 사다리 안에 신탁을 숨겼습니다. 
태양신의 신탁을 찾으면 예상치 못한 놀라움을 얻게 될 것입니다.","이 세상이 하늘에 올라가려고 돈과 수고를 들여 운사를 만들었다.
흥미롭다고 생각한 태양신은 말을 운사 속에 숨겼다.
태양신의 말을 찾아 서프라이즈를 얻자."
30120011,值班表,值班表,Duty Schedule,宿直表,당직표,근무 일정,숙소 직표
30120012,当日罗联基地西部区域的值班人员名单，上面还有值班组长做的笔记。,當日羅聯基地西部區域的值班人員名單，上面還有值班組長做的筆記。,"The list of on-duty personnel for the western area of the URNC base on that day, along with notes written by the on-duty team leader.",当日のロ連軍基地西部区域の宿直者名簿には、宿直長が書いたメモがある。,당일 루련 기지 서쪽 구역의 당직 인원 명단. 위에는 당직 팀장이 써놓은 메모도 있다.,이날 URNC 기지 서부지역 근무요원 명단과 근무팀장의 메모.,당일 로련군 기지 서부구역의 숙직자 명부에는 숙직장이 쓴 메모가 있다.
30120021,探照灯路线图,探照燈路線圖,Searchlight Route Map,サーチライトルート図,서치라이트 노선도,서치라이트 노선도,검색 라이트 루트 다이어그램
30120022,基地内最新的探照灯路线图，已经根据目前的紧急局势优化了当晚的探照方案。,基地內最新的探照燈路線圖，已經根據目前的緊急局勢優化了當晚的探照方案。,"Latest Searchlight Route Map of the base, the night plan has been optimized based on current emergency situation.",基地内の最新のサーチライトルート図。当日の緊急事態に応じて夜間の投射を計画したもの。,기지의 최신 서치라이트 노선도. 이미 현재의 급박한 상황에 맞춰 야간 서치 계획을 최적화했다.,"기지의 최신 서치라이트 경로 지도, 야간 계획은 현재 비상 상황을 기반으로 최적화되었습니다.",기지의 최신 검색 라이트 루트 다이어그램. 당일의 긴급 사태에 따라 야간 투사를 계획한 것.
30120031,伏特加,伏特加,Vodka,ウォッカ,보드카,보드카,보드카
30120032,具有当地特色的烈酒，只需一口就能忘却疲劳与寒冷，是当地罗联士兵休息期间最喜爱的饮品。,具有當地特色的烈酒，只需一口就能忘卻疲勞與寒冷，是當地羅聯士兵休息期間最喜愛的飲品。,"A local specialty liquor that, with just a sip, can make one forget fatigue and cold. It is the favorite drink among the local URNC soldiers during breaks.",現地特産の強いお酒。一口で疲れや寒さを解消する。現地のロ連兵が休憩時間によく飲む。,현지 특색이 담긴 독주. 한 모금만 마셔도 모든 피로와 추움을 떨쳐낼 수 있다. 현지 루련 병사가 쉬는 시간에 가장 좋아하는 음료이다.,한 모금만 마시면 피로와 추위를 잊게 해주는 향토 특산주입니다. 휴식 시간에 지역 URNC 군인들이 가장 좋아하는 음료입니다.,현지 특산의 강한 술. 한입으로 피로와 추위를 해소한다.
30120041,实验大楼门卡,實驗大樓門卡,Laboratory Building Keycard,実験棟のカードキー,실험동 키 카드,실험실 건물 키카드,실험동 카드 키
30120042,基地实验大楼的专用门卡，可以在大楼封闭期间自由出入。,基地實驗大樓的專用門卡，可以在大樓封閉期間自由出入。,"Special keycard for the base's laboratory building, allowing free entry and exit during the building's closure.",基地実験棟専用のカードキー。建物が閉まっている期間に自由に出入りできる。,기지 실험동 전용 키 카드. 대문이 닫히기 전에 자유롭게 드나들 수 있다.,기지 실험실 건물의 특수 키카드로 건물 폐쇄 기간 동안 무료 출입이 가능합니다.,기지 실험동 전용의 카드 키.건물이 닫혀 있는 기간에 자유롭게 출입할 수 있다.
301200411,实验大楼门卡,實驗大樓門卡,Laboratory Building Keycard,実験棟のカードキー,실험동 키 카드,실험실 건물 키카드,실험동 카드 키
301200412,基地实验大楼的专用门卡，可以在大楼封闭期间自由出入。,基地實驗大樓的專用門卡，可以在大樓封閉期間自由出入。,"Special keycard for the base's laboratory building, allowing free entry and exit during the building's closure.",基地実験棟専用のカードキー。建物が閉まっている期間に自由に出入りできる。,기지 실험동 전용 키 카드. 대문이 닫히기 전에 자유롭게 드나들 수 있다.,기지 실험실 건물의 특수 키카드로 건물 폐쇄 기간 동안 무료 출입이 가능합니다.,기지 실험동 전용의 카드 키.건물이 닫혀 있는 기간에 자유롭게 출입할 수 있다.
30121011,和帕沙的对话,和帕沙的對話,Conversation with Pasha,パーサとの対話,파샤와의 대화,파샤와의 대화,파서와의 대화
30121012,瓦连京有心事。,瓦連京有心事。,Valentin has something on his mind.,バレンチンは心配事がある。,발렌틴이 걱정이 있는 거 같다.,발렌틴은 마음속에 뭔가를 갖고 있습니다.,발렌틴은 걱정이 있다.
30121021,和瓦连京的对话,和瓦連京的對話,Conversation with Valentin,バレンチンとの対話,발렌틴과의 대화,발렌틴과의 대화,발렌틴과의 대화
30121022,维克多丢了文件。,維克多丟了檔。,Viktor lost the document.,ヴィクターは文書を捨てた。,빅토르가 문서를 잃어버렸다.,빅토르는 문서를 잃어버렸습니다.,빅터는 문서를 버렸다.
30121031,和维克多的对话,和維克多的對話,Conversation with Viktor,ヴィクターとの対話,빅토르와의 대화,빅토르와의 대화,빅터와의 대화
30121032,文件可能落在食堂了。,檔可能落在食堂了。,The document may have been left in the cafeteria.,文書はおそらく食堂に落ちている。,문서를 식당에 떨어뜨렸을 수도.,문서가 식당에 남겨졌을 수도 있습니다.,문서는 아마 식당에 떨어졌다.
30121041,门卡信息,門卡資訊,Keycard information,カードキーの情報,키 카드 정보,키카드 정보,카드 키 정보
30121042,赫里斯保管着门卡。,赫裏斯保管著門卡。,Heris was keeping the keycard.,ハリスはカードキーを保管している。,헤리스가 출입 카드를 보관하고 있다.,헤리스는 키카드를 보관하고 있었습니다.,해리스는 카드키를 보관하고 있다.
30121051,和安德烈的对话,和安德烈的對話,Conversation with Andrei,アンドレとの対話,앙드레와의 대화,안드레이와의 대화,앙드레와의 대화
30121052,萨夫瓦替了赫里斯的班。,薩夫瓦替了赫裏斯的班。,Savva replaced Heris's shift.,サファはハリスの代わりに勤務した。,사브와가 헤리스를 대신해 당직을 선다.,Savva는 Heris의 교대 근무를 대체했습니다.,사파는 해리스 대신 근무했다.
30121061,和萨夫瓦的对话,和薩夫瓦的對話,Conversation with Savva,サファとの対話,사브와와의 대화,사바와의 대화,사파와의 대화
30121062,门卡临时交给了鲍里斯。,門卡臨時交給了鮑裏斯。,Keycard was temporarily handed to Boris.,カードキーをとりあえずポーリスに渡した。,출입 카드는 임시로 보리스에게 넘긴다.,일시적으로 보리스에게 키카드가 전달되었습니다.,카드키를 우선 폴리스에게 건네주었다.
30121071,和尼克诺维奇的对话,和尼克諾維奇的對話,Conversation with Niknovic,ニコロビッチとの対話,니케노비키와의 대화,니노비치와의 대화,니콜로비치와의 대화
30121072,尼克诺维奇似乎很想喝酒。,尼克諾維奇似乎很想喝酒。,Niknovic seemed to be craving for a drink.,ニコロビッチは酒を飲みたそうだ。,니케노비키가 술을 마시고 싶은 거 같다.,Niknovic은 술을 마시고 싶어하는 것 같았습니다.,니콜로비치는 술을 마신 것 같다.
40220011,牢房门卡,牢房門卡,Prison Keycard,牢獄のカードキー,감옥 키 카드,감옥 키카드,감옥 카드 키
40220012,拥有牢房指挥官权限的门卡，可以开启牢房的大门。,擁有牢房指揮官許可權的門卡，可以開啟牢房的大門。,"Keycard with Prison Chief privileges, capable of unlocking the doors to the detention cells.",牢獄司令官の権限付きカードキー。牢獄の正面ゲートを開けられる。,"감옥 사령관 권한이 있는 키 카드가 있으면, 감옥 정문을 열 수 있다. ",교도소장 권한이 있는 키카드로 구금실 문을 열 수 있습니다.,감옥 사령관의 권한이있는 카드 키. 감옥의 전면 게이트를 열 수 있습니다.
40160011,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160012,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40160021,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160022,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40160031,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160032,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40160041,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160042,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40160051,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160052,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40160061,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160062,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40160071,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160072,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40160081,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40160082,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260011,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260012,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260021,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260022,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260031,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260032,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260041,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260042,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260051,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260052,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260061,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260062,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260071,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260072,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260081,记忆碎片,記憶碎片,Memory Shard,記憶のかけら,기억 파편,메모리 샤드,기억 조각
40260082,黎格的记忆碎片。,黎格的記憶碎片。,Lige's Memory Shard,リゲルの記憶のかけら。,리겔의 기억 파편,라이게의 기억조각,리겔의 기억 조각.
40260211,记忆片段一,記憶片段一,Memory Fragment I,記憶の断片1,기억 파편 1,기억의 조각Ⅰ,기억의 조각 1
40260212,一段藏于黎格记忆深处的相识片段。,一段藏於黎格記憶深處的相識片段。,A short fragment hidden deep inside Lige's memory.,リゲルの記憶の奥に隠された出会いの断片。,리겔의 기억 깊은 곳에 숨겨져 있던 만남의 장면.,리게의 기억 깊은 곳에 숨겨진 짧은 단편.,리겔의 기억 안쪽에 숨겨진 만남의 조각.
40260221,记忆片段二,記憶片段二,Memory Fragment II,記憶の断片2,기억 파편 2,기억의 파편 II,기억의 조각 2
40260222,一段关于黎格与洁芙缇相知的片段。,一段關於黎格與潔芙緹相知的片段。,A short fragment about the relationship between Lige and Jefuty.,リゲルとジェフティの親しさに関する断片。,리겔과 제퓨티가 만난 장면.,Lige와 Jefuty의 관계에 대한 짧은 단편입니다.,리겔과 제프티의 친절에 관한 조각.
40260231,记忆片段三,記憶片段三,Memory Fragment III,記憶の断片3,기억의 파편 3,기억의 파편 III,기억의 조각 3
40260232,一段关于黎格与洁芙缇进行实验的片段。,一段關於黎格與潔芙緹進行實驗的片段。,A short fragment about Lige and Jefuty doing experiments together.,リゲルとジェフティが実施した実験に関する断片。,리겔과 제퓨티가 실험을 하는 장면.,Lige와 Jefuty가 함께 실험을 하는 것에 대한 짧은 단편입니다.,리겔과 제프티가 실시한 실험에 관한 단편.
40260241,记忆片段四,記憶片段四,Memory Fragment IV,記憶の断片4,기억 파편 4,기억의 조각 IV,기억 조각 4
40260242,一段关于黎格与洁芙缇寻找对抗伯劳方法的片段。,一段關於黎格與潔芙緹尋找對抗伯勞方法的片段。,A short fragment about Lige and Jefuty searching for ways to counter the Shrike.,リゲルとジェフティが練ったシュライクへの対抗策に関する断片。,리겔과 제퓨티가 슈라이크에 대항할 방법을 찾는 장면.,Shrike에 대응할 방법을 찾고 있는 Lige와 Jefuty에 대한 짧은 단편입니다.,리겔과 제프티가 반죽한 슈라이크에 대한 대책에 관한 단편.
1001,重组密钥,重組密鑰,Recombination Key,リビルドキー,재조합 키,재조합 키,재빌드 키
1002,用于基因重组的密钥，可以将1个已经领悟的技能或特质重置为1级，并返还已消耗的潜能密钥。,用於基因重組的密鑰，可以將1個已經領悟的技能或特質重置為1級，並返還已消耗的潛能密鑰。,A key for Gene Recombination. Resets 1 skill or trait to Level 1 and refunds the consumed Potential Keys.,ゲノムのリビルドに使用するキー。体得済みのスキルまたは特質1個をレベル1にリセットでき、消費済みのゲノムキーが返還される。,"유전자 재구성에 사용되는 비밀 키. 습득한 스킬 또는 특성 1개를 레벨 1로 리셋할 수 있으며, 소비한 포텐셜 키를 돌려받을 수 있다. ","유전자 재조합의 열쇠. 스킬이나 특성 1개를 1레벨로 재설정하고, 소모된 잠재키를 돌려받습니다.",게놈 재구성에 사용되는 키. 체득이 끝난 스킬 또는 특질 1개를 레벨 1로 리셋할 수 있어 소비된 게놈 키가 반환된다.
1011,重置磁盘,重置磁片,Reset Disk,リセットディスク,디스크 리셋,디스크 재설정,리셋 디스크
